Complaint,Category,Priority
May malaking butas sa kalsada sa eskwelahan,Roads & Infrastructure,Low
May malaking butas sa kalsada sa opisina,Roads & Infrastructure,Low
Mabagal ang pagkumpuni ng kalsada sa opisina,Roads & Infrastructure,High
Sira ang tulay papunta sa palengke,Roads & Infrastructure,High
May malaking butas sa kalsada sa kanto,Roads & Infrastructure,Medium
Sira ang tulay papunta sa barangay plaza,Roads & Infrastructure,Medium
Sira ang tulay papunta sa kanto,Roads & Infrastructure,Medium
May malaking butas sa kalsada sa palengke,Roads & Infrastructure,Low
Hindi pantay ang semento sa kalsada,Roads & Infrastructure,High
Mabagal ang pagkumpuni ng kalsada sa munisipyo,Roads & Infrastructure,Medium
Hindi pantay ang semento sa kalsada sa barangay ,Roads & Infrastructure,Medium
May malaking butas sa kalsada sa palengke,Roads & Infrastructure,Low
May malaking butas sa kalsada sa munisipyo,Roads & Infrastructure,Low
Mabagal ang pagkumpuni ng kalsada sa kanto,Roads & Infrastructure,High
May malaking butas sa kalsada sa eskwelahan,Roads & Infrastructure,Low
Mabagal ang pagkumpuni ng kalsada sa munisipyo,Roads & Infrastructure,Low
Sira ang tulay papunta sa palengke,Roads & Infrastructure,Medium
Sira ang tulay papunta sa munisipyo,Roads & Infrastructure,High
May malaking butas sa kalsada sa munisipyo,Roads & Infrastructure,Low
Mabagal ang pagkumpuni ng kalsada sa palengke,Roads & Infrastructure,Medium
Hindi pantay ang semento sa kalsada sa munisipyo,Roads & Infrastructure,High
Mabaho ang paligid dahil hindi dinadala ang basura sa eskwelahan,Waste Management,Low
Mabaho ang paligid dahil hindi dinadala ang basura sa eskwelahan,Waste Management,Medium
Walang dumadaang trak ng basura sa opisina,Waste Management,Medium
Tambak ng basura sa gilid ng kalsada sa hospital,Waste Management,Medium
Mabaho ang paligid dahil hindi dinadala ang basura sa eskwelahan,Waste Management,Medium
Tambak ng basura sa gilid ng kalsada sa terminal,Waste Management,Low
Mabaho ang paligid dahil hindi dinadala ang basura sa eskwelahan,Waste Management,Medium
Mabaho ang paligid dahil hindi dinadala ang basura sa opisina,Waste Management,Medium
Hindi nakokolekta ang basura sa palengke,Waste Management,High
Mabaho ang paligid dahil hindi dinadala ang basura sa kanto,Waste Management,Medium
Tambak ng basura sa gilid ng kalsada sa hospital,Waste Management,Medium
Walang dumadaang trak ng basura sa munisipyo,Waste Management,Low
Tambak ng basura sa gilid ng kalsada sa barangay hall,Waste Management,Low
Tambak ng basura sa gilid ng kalsada sa barangay plaza,Waste Management,Medium
Tambak ng basura sa gilid ng kalsada sa eskwelahan,Waste Management,Medium
Tambak ng basura sa gilid ng kalsada sa terminal,Waste Management,Medium
Hindi nakokolekta ang basura sa terminal,Waste Management,Low
Tambak ng basura sa gilid ng kalsada sa barangay hall,Waste Management,High
Mabaho ang paligid dahil hindi dinadala ang basura sa kanto,Waste Management,Low
Mabaho ang paligid dahil hindi dinadala ang basura sa hospital,Waste Management,High
Walang dumadaang trak ng basura sa munisipyo,Waste Management,Medium
Hindi nakokolekta ang basura sa palengke,Waste Management,High
Sirang poste ng ilaw sa kanto ng hospital,Electricity Services,Medium
Walang tubig buong araw sa kanto,Water Services,Low
Walang kuryente simula kahapon sa terminal,Electricity Services,Medium
Mahina ang pressure ng tubig tuwing gabi sa aming barangay,Water Services,Medium
Sirang poste ng ilaw sa kanto ng eskwelahan,Electricity Services,Medium
Walang kuryente simula kahapon sa kanto,Electricity Services,Medium
Walang tubig buong araw sa munisipyo,Water Services,High
Sirang poste ng ilaw sa kanto ng terminal,Electricity Services,High
Walang kuryente simula kahapon sa eskwelahan,Electricity Services,Low
Walang kuryente simula kahapon sa barangay hall,Electricity Services,High
Walang kuryente simula kahapon sa barangay hall,Electricity Services,Medium
Mahina ang pressure ng tubig tuwing gabi sa barangay,Water Services,High
Walang tubig buong araw sa terminal,Water Services,Low
Walang kuryente simula kahapon sa opisina,Electricity Services,High
Walang kuryente simula kahapon sa hospital,Electricity Services,Low
Walang tubig buong araw sa eskwelahan,Water Services,High
Walang tubig buong araw sa terminal,Water Services,Medium
Walang tubig buong araw sa barangay,Water Services,Low
Mahina ang pressure ng tubig tuwing gabi sa terminal,Water Services,High
Walang kuryente simula kahapon sa hospital,Electricity Services,High
Walang kuryente simula kahapon sa terminal,Electricity Services,Low
Mahina ang pressure ng tubig tuwing gabi sa barangay hall,Water Services,Medium
Hindi dumadaan ang mga jeep sa tamang ruta sa terminal,Transportation,High
Laging puno ang bus at hindi tumitigil sa munisipyo,Transportation,High
Mahal maningil ang nasakyan kong tricycle,Transportation,High
Walang sapat na tricycle sa kanto tuwing gabi,Transportation,High
Laging puno ang bus at hindi tumitigil sa tamang antayan,Transportation,High
Laging puno ang bus at hindi tumitigil sa barangay hall,Transportation,Low
Mahal ang pasahe sa jeep kahit maiksi lang ang ruta sa palengke,Transportation,Medium
Hindi dumadaan ang mga jeep sa tamang ruta sa barangay hall,Transportation,Medium
Laging puno ang bus at hindi tumitigil sa kanto,Transportation,Low
Walang sapat na tricycle sa eskwelahan tuwing gabi,Transportation,High
Laging puno ang bus at hindi tumitigil sa barangay plaza,Transportation,High
Laging puno ang bus at hindi tumitigil sa kanto,Transportation,Medium
Hindi dumadaan ang mga jeep sa tamang ruta sa munisipyo,Transportation,High
Hindi dumadaan ang mga jeep sa tamang ruta sa palengke,Transportation,Low
Hindi dumadaan ang mga jeep sa tamang ruta sa hospital,Transportation,Medium
